smile,value_min,value_max,value_mean
Cc1ccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3ccc4oc(-c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)nc4c32)cc1,54.0,54.0,54.0
Cc1ccc(-c2nc3c4c(ccc3o2)C(C)(C)CC42CC(C)(C)c3cc4nc(-c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)oc4cc32)cc1,54.0,54.0,54.0
Cc1cccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3ccc4oc(-c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)nc4c32)c1,53.0,53.0,53.0
Cc1cccc(-c2nc3c4c(ccc3o2)C(C)(C)CC42CC(C)(C)c3cc4nc(-c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)oc4cc32)c1,53.0,53.0,53.0
Cc1cccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5cccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)c5)cc4c(=O)c3c2)c1,33.5,33.5,33.5
Cc1cccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4c(=O)c3c2)c1,40.1,40.1,40.1
Cc1ccc(-c2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,35.0,35.0,35.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,62.0,62.0,62.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc4C(F)(F)F)cc3)cc2)c(C(F)(F)F)c1,61.0,61.0,61.0
Cc1ccc2oc3ccc(-n4c(=O)c5cc6c(=O)n(C)c(=O)c6cc5c4=O)cc3c(=O)c2c1,6.3,6.3,6.3
Cc1cccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)c5)cc4c(=O)c3c2)c1,46.7,46.7,46.7
Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc4C(F)(F)F)cc3)cc2)c(C(F)(F)F)c1,62.0,62.0,62.0
Cc1cc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc(C(F)(F)F)c4)cc3)cc2)cc(C(F)(F)F)c1,65.0,65.0,65.0
Cc1ccc(C(=O)Nc2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2C)cc1C,46.9,46.9,46.9
Cc1ccc(NC(=O)c2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)c(C)c1,46.9,46.9,46.9
Cc1ccc(NC(=O)c2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)c(C)c2)c(C)c1,62.9,62.9,62.9
