smile,value_min,value_max,value_mean
Cc1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4)CO[C@H]23)cc1,108.0,108.0,108.0
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5)cc4c(=O)c3c2)cc1,131.0,131.0,131.0
Cc1ccc(O[C@@H]2CO[C@@H]3[C@@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C)CO[C@H]23)c(C)c1,118.0,118.0,118.0
Cc1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C)CO[C@H]23)c(C)c1,118.0,118.0,118.0
Cc1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C(F)(F)F)CO[C@H]23)c(C(F)(F)F)c1,103.0,103.0,103.0
Cc1ccc(O[C@@H]2CO[C@@H]3[C@@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C(F)(F)F)CO[C@H]23)c(C(F)(F)F)c1,103.0,103.0,103.0
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,115.2,115.2,115.2
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)c(F)c1,110.6,110.6,110.6
Cc1cc(F)c(-c2c(F)cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)c(F)c1,107.2,107.2,107.2
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,83.4,120.0,98.8
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C)c(C)c1,110.9,142.8,126.85000000000001
Cc1cccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5cccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)c5)cc4c(=O)c3c2)c1,143.0,143.0,143.0
Cc1ccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3cc4nc(-c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)oc4cc32)cc1,109.7,109.7,109.7
Cc1cccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3cc4nc(-c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)oc4cc32)c1,106.4,106.4,106.4
