block,count
[16*]c1cc2c3c(=O)oc(=O)c3c3cc([16*])cc4c5c(=O)oc(=O)c5c(c1)c2c34,2
O=c1oc(=O)c2c1c1ccc3ccc4ccc5ccc6c7c(=O)oc(=O)c7c2c2c1c3c4c5c62,1
[3*]OC,4
O=c1oc(=O)c2c1ccc1c3c(=O)oc(=O)c3c3ccc4ccc5ccccc5c4c3c12,1
Cc1c2c(=O)oc(=O)c2c(C)c2c(=O)oc(=O)c12,1
[4*]C(C)(C)C,1
[16*]c1cc2c(=O)oc(=O)c2c2c(C)cc3c(=O)oc(=O)c3c12,1
O=c1oc(=O)c2cc3c(cc12)c1cc2c(=O)oc(=O)c2cc31,1
O=c1oc(=O)c2cc3cc4cc5cc6c(=O)oc(=O)c6cc5cc4cc3cc12,1
O=c1oc(=O)c2c1c1c(=O)oc(=O)c1c1c3ccccc3c21,1
[16*]c1c2cc3cc4c(=O)oc(=O)c4cc3cc2c([16*])c2c(=O)oc(=O)c12,1
O=c1oc(=O)c2cc3cc4c(=O)oc(=O)c4cc3cc12,2
[4*]CCCCCCC,1
[4*]CCCC,1
Cc1ccc2c(c1)C(c1ccc3c(c1)C(=O)OC3=O)(c1ccc3c(c1)C(=O)OC3=O)c1cc(C)ccc1-2,1
CC1(C)CC(C)(c2ccc3c(c2)C(=O)OC3=O)c2cc3c(cc21)C(=O)OC3=O,1
[16*]c1ccccc1C1(c2ccccc2[16*])c2ccccc2-c2ccccc21,1
[4*]CC[8*],1
[3*]OC1=CCC([15*])C=C1,1
CC1(C)CC(C)(c2ccc3c(c2)C(=O)OC3=O)c2c1ccc1c2C(=O)OC1=O,1
O=C1OC(=O)c2cc(C3(c4cccc5c4C(=O)OC5=O)c4ccccc4-c4ccccc43)ccc21,1
[8*]C([8*])(CC)CC,1
[4*]CCCCC[4*],1
[4*]CCCCCCC[4*],1
CC(C)C12c3ccccc3C(C(C)C)(c3cc4c(cc31)C(=O)OC4=O)c1cc3c(cc12)C(=O)OC3=O,1
[8*]C([8*])(C)C(F)(F)C(F)F,1
O=C1OC(=O)c2cc(C3(c4ccc5c(c4)C(=O)OC5=O)CCc4ccccc43)ccc21,1
[4*]CCCCCCCCCC[4*],1
[16*]c1ccc(C2(c3ccc([16*])cc3)CCc3ccccc32)cc1,1
[16*]c1ccc2cc3c(cc2c1)C(=O)OC3=O,1
O=C1OC(=O)c2cc3c(cc21)C1(c2ccccc2)c2ccccc2C3(c2ccccc2)c2cc3c(cc21)C(=O)OC3=O,1
[15*]C1([15*])CCCCCCCCC1,1
[7*]CC[8*],1
O=C1OC(=O)c2cc3c(cc21)Cc1cc2c(cc1C3(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,1
O=C1OC(=O)c2cc3c(cc21)C1c2ccccc2C3c2cc3c(cc21)C(=O)OC3=O,1
[16*]c1cc2c([16*])c3cc([16*])c([16*])cc3c([16*])c2cc1[16*],1
[16*]c1ccc2c([16*])c3cc([16*])ccc3c([16*])c2c1,1
[16*]c1c(C)c2c(c3ccccc13)C(=O)OC2=O,1
[16*]c1c2c(c3ccccc3c1[16*])C(=O)OC2=O,3
[16*]c1cc2c(c3cc(C)ccc13)C(=O)OC2=O,1
O=C1OC(=O)c2cc3c(cc21)C1CCC3C2C(=O)OC(=O)C12,1
O=C1OC(=O)c2cc3c(cc21)C1C=CC3C2C(=O)OC(=O)C12,1
O=C1OC(=O)c2cc(C#CCCCCC#Cc3ccc4c(c3)C(=O)OC4=O)ccc21,1
[8*]CCCC[8*],1
[8*]CCCCCCCCCCCC[8*],1
[8*]CC#CC[8*],1
[8*]C([8*])CCCCCCC,1
O=c1oc(=O)c2cc3ccc4cc5c(=O)oc(=O)c5cc4ccc3cc12,1
Cc1c2cc3c(C)c4c(=O)oc(=O)c4c(C)c3cc2c(C)c2c(=O)oc(=O)c12,1
Cc1c2cc3c(=O)oc(=O)c3cc2c(C)c2c(=O)oc(=O)c12,1
[8*]CCCCCC[8*],1
[13*]C1OC1[13*],1
[16*]c1cc(C)cc2cc3c(cc12)C(=O)OC3=O,2
[15*]C1C2=C(C=C3C=CC=CC31)C(=O)OC2=O,1
[6*]C(=O)CCCC([6*])=O,1
CC1(C)c2cc3c(cc2C(C)(C)c2cc4c(cc21)C(=O)OC4=O)C(=O)OC3=O,1
O=C1OC(=O)c2cc3c(cc21)Cc1ccccc1Cc1cc2c(cc1C3)C(=O)OC2=O,1
[16*]c1c([16*])c([16*])c([16*])c([16*])c1[16*],2
CC12CCC(C)(c3cc4c(cc31)C(=O)OC4=O)c1cc3c(cc12)C(=O)OC3=O,1
O=C1OC(=O)c2c1cc1c3c(cc4ccccc41)C(=O)OC(=O)c23,1
[8*]C([8*])(CCCF)C(F)(F)F,1
O=c1oc(=O)c2c3ccccccc4c5c(=O)oc(=O)c5c5ccccccc(c12)c5c34,1
[3*]OCOCOCO[3*],1
O=c1oc(=O)c2c1c1ccc3ccccc3c1c1c(=O)oc(=O)c21,1
O=C1OC(=O)c2c1ccc1c2CC2C(=O)OC(=O)C2C1,1
[16*]c1cccc2cc3c(cc12)C(=O)OC3=O,1
[16*]c1ccc(C)c2cc3c(cc12)C(=O)OC3=O,1
[16*]c1c2ccc(C)cc2cc2cc3c(cc12)C(=O)OC3=O,1
N#Cc1c2cc3c(=O)oc(=O)c3cc2c(C#N)c2cc3c(=O)oc(=O)c3cc12,1
O=C1OC(=O)c2cc3c(cc21)CC1C(=O)OC(=O)C1C3,1
O=c1oc(=O)c2c3cc4cccc5c6c(=O)oc(=O)c6c6cc7cccc(c12)c7c3c6c45,1
O=c1oc(=O)c2c1ccc1c2ccc2ccc3c(=O)oc(=O)c3c21,1
[16*]c1c2cc3cc4c(=O)oc(=O)c4c([16*])c3cc2cc2c(=O)oc(=O)c12,1
O=C1OC(=O)c2cc(C#Cc3ccc(C#Cc4ccc5c(c4)C(=O)OC5=O)cc3)ccc21,1
O=C1OC(=O)c2c1cc1c3c(cccc23)C(=O)OC1=O,1
[7*]C[8*],2
O=c1oc(=O)c2c1cc1ccc3cc4c(=O)oc(=O)c4c4ccc2c1c34,1
O=c1oc(=O)c2c3ccc4ccc5c6c(=O)oc(=O)c6c6ccc7ccc(c12)c1c7c6c5c4c31,1
O=C1OC(=O)c2ccc3c4cc5c(=O)oc(=O)c5c5cccc(c6ccc1c2c63)c45,1
O=c1oc(=O)c2c1cc1cccc3c1c2c1cccc2cc4c(=O)oc(=O)c4c3c21,1
[16*]c1c2ccc3c4c(=O)oc(=O)c4c([16*])c4ccc(c5c(=O)oc(=O)c15)c2c43,1
O=C1OC(=O)c2cc3cc4c5c6c(cccc6cc4cc3cc21)C(=O)OC5=O,1
O=c1oc(=O)c2c1cc1c3cccc4c5c(=O)oc(=O)c5cc(c5cccc2c51)c34,1
O=C1OC(=O)c2ccc3c4c2c1ccc4c1cccc2cc4c(=O)oc(=O)c4c3c21,1
O=c1oc(=O)c2cc3c(ccc4c3ccc3c(=O)oc(=O)c34)cc12,1
O=c1oc(=O)c2c1c1cc3ccccc3cc1c1c(=O)oc(=O)c12,1
O=c1oc(=O)c2cc3c(ccc4c5cc6c(=O)oc(=O)c6cc5ccc34)cc12,1
O=c1oc(=O)c2cc3c(cc12)c1ccccc1c1cc2c(=O)oc(=O)c2cc13,1
O=C1OC(=O)c2c1ccc1c2cc2c3c(cccc31)C(=O)OC2=O,1
O=c1oc(=O)c2c1cc1ccc3c4c(=O)oc(=O)c4cc4ccc2c1c43,1
O=c1oc(=O)c2c1ccc1c3ccc4c(=O)oc(=O)c4c3ccc12,1
O=c1oc(=O)c2c3cccc4c5c(=O)oc(=O)c5c5cccc(c12)c5c34,1
O=c1oc(=O)c2cc3c(ccc4cc5c(=O)oc(=O)c5cc43)cc12,1
O=c1oc(=O)c2c1ccc1cc3ccc4c(=O)oc(=O)c4c3cc12,1
[16*]c1c([16*])c2c(=O)oc(=O)c2c2c(=O)oc(=O)c12,1
Cc1cc2c(c3c1C(=O)c1c(C)cc4c(c1C3)C(=O)OC4=O)C(=O)OC2=O,1
[16*]c1cc2c(cc1C)C(=O)OC2=O,6
O=c1oc(=O)c2cc3c(=O)c4cc5c(=O)oc(=O)c5cc4c(=O)c3cc12,1
O=C1OC(=O)c2cc3c(cc21)Cc1cc2c(cc1-3)C(=O)OC2=O,1
[16*]c1cc2ccccc2c2c1C(=O)OC2=O,1
[8*]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([8*])(F)F,1
[8*]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([8*])(F)F,1
[16*]c1cc(C)c([16*])cc1C,1
[8*]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([8*])(F)F,1
O=c1oc(=O)c2c3cc4c5ccccc5c5c(=O)oc(=O)c5c4cc3c3ccccc3c12,1
O=c1oc(=O)c2c3cc4c(cc3c3ccccc3c12)c1ccccc1c1c(=O)oc(=O)c41,1
[8*]CCCCCCCCCC[8*],1
O=c1oc(=O)c2c3ccc4c5c(=O)oc(=O)c5c5ccccc5c4c3c3ccccc3c12,1
[16*]c1cc2ccccc2cc1[16*],2
[16*]c1ccc2c3c(cccc13)C(=O)OC2=O,5
[16*]c1cccc2c([16*])cccc12,2
O=C1OC(=O)c2cc3cc4c(cc3cc21)Cc1cc2cc3c(cc2cc1C4)C(=O)OC3=O,1
CC12c3ccccc3C(C)(c3cc4c(cc31)C(=O)OC4=O)c1cc3c(cc12)C(=O)OC3=O,1
[16*]c1cc([16*])c2cc3c(cc2c1)C(=O)OC3=O,1
[16*]c1ccc2c3c(=O)oc(=O)c3cc3c4c([16*])ccc5c6c(=O)oc(=O)c6cc(c1c32)c54,1
[16*]c1cccc2ccccc12,2
O=c1oc(=O)c2c(F)c3c(F)c4c(=O)oc(=O)c4c(F)c3c(F)c12,1
[4*]CCF,1
[8*]C(C1=CC2C(=O)OC(=O)C2C=C1)(C(F)(F)F)C(F)(F)F,1
[6*]C(=O)C1=CCC2(C)C(=O)OC(=O)C2=C1,1
[15*]C1(C)C=CC2=C(C1)C(=O)OC2=O,1
[8*]C([8*])C(F)(F)F,1
[6*]C(=O)C1=CC2=C(CC1C)C(=O)OC2=O,1
[15*]C1C=CC2=C(C=C1)C(=O)OC2=O,2
[16*]c1cccc2c1CC(=O)OC2=O,1
[8*]C(C1=CCC2(C)C(=O)OC(=O)C2=C1)(C(F)(F)F)C(F)(F)F,1
[8*]CC(=O)C[8*],1
[15*]C1(C)CCC2C(=O)OC(=O)C2C1,1
[8*]CC(C)C[8*],1
O=C1OC(=O)c2cc3c(cc21)CCCc1cc2c(cc1CC3)C(=O)OC2=O,1
[3*]ONO[3*],2
O=C1OC(=O)c2cc3c(cc21)CCc1cc2c(cc1CC3)C(=O)OC2=O,1
O=C1OC(=O)c2cc3c(cc21)CCCc1cc2c(cc1CCC3)C(=O)OC2=O,1
[8*]CC(F)(F)F,3
[8*]C(F)(F)C(F)(F)F,2
[16*]c1c2c(c3cc(C)ccc3c1[16*])C(=O)OC2=O,1
[8*]C(F)F,1
[6*]C(=O)CCC([6*])=O,1
[16*]c1ccc2c(c1C)C(=O)OC2=O,2
[8*]C([8*])(C(C)(F)F)C(F)(F)F,1
[8*]C(C1=CC=C2C(=O)OC(=O)C2(C)C1)(C(F)(F)F)C(F)(F)F,1
[8*]CC([8*])(C)C(F)(F)F,1
CC1C(c2ccc3c(c2)C(=O)OC3=O)=CC=C2C(=O)OC(=O)C21,1
CC12CC3=C(C=C1C(=O)OC2=O)C1c2ccccc2C3c2cc3c(cc21)C(=O)OC3=O,1
[3*]OC1=CC=C(O[3*])CC1,1
[8*]C(C)(C)CCCCC([8*])(C)C,1
[15*]C1C=CC2=C(C1)C(=O)OC2=O,2
O=C1OC(=O)c2c1cccc2C1=CC2C(=O)OC(=O)C2C=C1,1
[6*]C(=O)CCCCC([6*])=O,1
[8*]C([8*])(F)C([8*])(F)F,2
[8*]C([8*])(F)C(F)(F)C(F)(F)F,3
[16*]c1cc(F)c2c(c1F)C(=O)OC2=O,1
[3*]OF,1
[1*]C(=O)C([8*])([8*])C(F)(F)F,1
[16*]c1c(C)c(C)c2c(c1C)C(=O)OC2=O,3
[8*]C([8*])(C)C(F)(F)F,6
[15*]C1CCC2(CC1)CC(=O)OC2=O,1
[8*]C([8*])(CF)C(F)(F)F,2
[15*]C1CCC2=C(C1)C(=O)OC2=O,1
[8*]C(F)CCC,1
[6*]C(=O)C1=CC=C2C(=O)OC(=O)C2C1,1
[8*]C([8*])(C)CF,1
[16*]c1c(F)c(F)c(F)c2c1C(=O)OC2=O,1
[8*]C([8*])(C(F)(F)F)C(F)(F)C(F)(F)F,1
CC1(C(F)(F)F)c2cc3c(cc2Cc2cc4c(cc21)C(=O)OC4=O)C(=O)OC3=O,1
[8*]C([8*])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1
[8*]C(F)(F)C([8*])(F)C(F)(F)F,1
[16*]c1c(F)c(F)c([16*])c(F)c1F,5
[16*]c1ccc2c(c1F)C(=O)OC2=O,1
[16*]c1cc(F)c2c(c1)C(=O)OC2=O,1
O=C1OC(=O)c2cc3c(cc21)C1(F)c2ccccc2C3(F)c2c1ccc1c2C(=O)OC1=O,1
[8*]CC(C[8*])(C(F)(F)F)C(F)(F)F,1
[8*]C(C1=CCC2C(=O)OC(=O)C2C1)(C(F)(F)F)C(F)(F)F,1
[3*]OCOCOCOCO[3*],1
[8*]CCC[8*],4
O=C1OC(=O)C2CC3C(CC12)CC1C(=O)OC(=O)C13,1
O=C1OC(=O)C2CC(C3CCCC4C(=O)OC(=O)C43)CCC12,2
O=C1OC(=O)C2C3CC(C12)C1C2CC(C4C(=O)OC(=O)C24)C31,1
CC1(c2ccccc2)c2cc3c(cc2Oc2cc4c(cc21)C(=O)OC4=O)C(=O)OC3=O,1
O=C1OC(=O)C2C(=O)OC(=O)C12,1
O=C1OC(=O)C2C1CCC1C(=O)OC(=O)C12,1
O=C1CC2(CC3CC2C(=O)OC3=O)C(=O)O1,1
O=C1CC2(CC3CC2C2C(=O)OC(=O)C32)C(=O)O1,1
O=C1CC2(CC(=O)O1)CC(=O)OC(=O)C2,1
[15*]C12C(=O)OC(=O)C1C1C(=O)OC(=O)C12C,1
[15*]C12C(=O)OC(=O)C1C1(C)C(=O)OC(=O)C21,2
O=C1OC(=O)C2(F)C1(F)C1(F)C(=O)OC(=O)C21F,1
CC12C(=O)OC(=O)C1(C)C1(F)C(=O)OC(=O)C21F,1
